City,Country,Region,Category,Climate,Best_Month,Attractions,Cuisine_Name,Flavor_Profile,Hotel_Name,Star_Rating,Price_Per_Night,Amenities,Weather_Type,Average_Temperature,Budget_Range,Activities
Nairobi,Kenya,Oceania,safari,Hot,Autumn,Nairobi Landmark 1; Karen Blixen Museum; Nairobi National Park; Giraffe Centre; Nairobi Landmark 2,Nyama Choma,Savory,Giraffe Manor,4,163,Pet Friendly; Beach Access; Pool; WiFi; Restaurant,Humid,26.5,$1434–$3129,skiing; wildlife; relaxation
Shimla,India,South Asia,mountain,Cold,January,Christ Church; Mall Road; Shimla Landmark 2; Jakhoo Temple; Shimla Landmark 1,Channa Madra,Savory,Hotel Willow Banks Shimla,4,38,Bar; Restaurant; Kids Club; Pool,Sunny,22.7,$292–$638,adventure; nightlife; shopping; relaxation
Toronto,Canada,North America,city,Moderate,September,CN Tower; Toronto Landmark 2; Toronto Landmark 1; Royal Ontario Museum; Toronto Islands,Peameal Bacon Sandwich,Savory,Shangri-La,4,160,Bar; Beach Access; Parking; Pet Friendly; Conference Rooms; Gym,Rainy,6.8,$1232–$2688,shopping; spirituality
Hawaii (Oahu),USA,North America,island,Hot,May,Waikiki Beach; Hawaii (Oahu) Landmark 1; Road to Hana; Hawaii (Oahu) Landmark 2; Haleakala,Poke,Savory,Four Seasons Hualalai,3,260,Parking; Gym; Airport Shuttle,Sunny,23.0,$1430–$3120,culture; historic tours; wildlife; photography
Melbourne,Australia,Oceania,city,Moderate,April,Federation Square; Melbourne Landmark 2; Royal Botanic Gardens; Melbourne Landmark 1; Great Ocean Road,Flat White,Savory,Crown Towers,5,176,Kids Club; Airport Shuttle; Conference Rooms,Windy,17.5,$1355–$2956,shopping; relaxation
Ho Chi Minh City,Vietnam,Southeast Asia,city,Hot,Winter,Ho Chi Minh City Landmark 1; Ben Thanh Market; Ho Chi Minh City Landmark 2; Cu Chi Tunnels; War Remnants Museum,Banh Mi,Savory,Park Hyatt Saigon,5,108,Pet Friendly; Bar; Spa,Sunny,30.1,$594–$1296,adventure; spirituality
Cusco,Peru,South America,heritage,Cold,May,Cusco Landmark 2; Plaza de Armas; Sacsayhuamán; Machu Picchu; Cusco Landmark 1,Cuy,Savory,Belmond Hotel Monasterio,3,185,Kids Club; Restaurant; Pool; Spa; Gym; Bar,Rainy,10.4,$610–$1332,culture; nightlife; food
Oslo,Norway,Other,city,Cold,Summer,Oslo Landmark 1; Akershus Fortress; Oslo Landmark 2; Oslo Opera House; Vigeland Park,Fårikål,Savory,The Thief,4,206,Pool; Parking; Airport Shuttle; WiFi; Bar; Kids Club; Pet Friendly,Windy,28.9,$1812–$3955,culture; historic tours
Manali,India,South Asia,mountain,Cold,January,Hadimba Temple; Solang Valley; Manali Landmark 2; Manali Landmark 1; Rohtang Pass,Trout Fish,Savory,Span Resort,4,133,Parking; Spa; Airport Shuttle; Conference Rooms; Kids Club,Humid,8.0,$1316–$2872,adventure; culture; shopping
Leh-Ladakh,India,South Asia,mountain,Cold,June,Leh-Ladakh Landmark 2; Leh-Ladakh Landmark 1; Thiksey Monastery; Nubra Valley; Pangong Lake,Tibetan Thenthuk,Savory,Zimskhang,4,152,Spa; Beach Access; Breakfast Included; Restaurant; Kids Club; Airport Shuttle; Pool,Snowy,3.2,$1672–$3648,relaxation; shopping; nightlife; skiing
Manali,India,South Asia,mountain,Cold,Spring,Manali Landmark 2; Manali Landmark 1; Solang Valley; Rohtang Pass; Hadimba Temple,Trout Fish,Savory,Span Resort,5,57,Pet Friendly; Bar; Gym; WiFi; Pool,Snowy,9.6,$313–$684,nightlife
Goa,India,South Asia,beach,Hot,December,Goa Landmark 1; Baga Beach; Goa Landmark 2; Anjuna Flea Market; Fort Aguada,Goan Fish Curry,Spicy,Fortune Resort,4,61,Gym; Pool; Pet Friendly; WiFi,Snowy,26.4,$603–$1317,historic tours; shopping; adventure
Rishikesh,India,South Asia,spiritual,Moderate,Summer,Rishikesh Landmark 1; Triveni Ghat; Laxman Jhula; Beatles Ashram; Rishikesh Landmark 2,Aloo Puri,Savory,Aloha on the Ganges,5,118,Conference Rooms; Pet Friendly; Beach Access,Windy,18.0,$389–$849,wildlife; culture
Helsinki,Finland,Southeast Asia,city,Cold,February,Market Square; Helsinki Landmark 1; Helsinki Cathedral; Suomenlinna; Helsinki Landmark 2,Salmiakki,Savory,Hotel Kämp,4,197,Pool; Beach Access; Kids Club; WiFi; Parking,Windy,7.6,$866–$1891,wildlife; spirituality
Toronto,Canada,North America,city,Moderate,June,Toronto Landmark 1; Royal Ontario Museum; Toronto Islands; Toronto Landmark 2; CN Tower,Peameal Bacon Sandwich,Savory,The St. Regis Toronto,4,274,Breakfast Included; Airport Shuttle; Parking; Spa; WiFi,Windy,4.8,$1507–$3288,skiing; spirituality; relaxation; shopping
Miami,USA,Oceania/Americas,beach,Hot,Summer,South Beach; Miami Landmark 2; Art Deco District; Miami Landmark 1; Everglades,Cuban Sandwich,Savory,Mandarin Oriental,4,322,Beach Access; Bar; WiFi; Gym; Conference Rooms; Parking; Spa,Sunny,22.1,$1771–$3864,relaxation
Bangkok,Thailand,Southeast Asia,city,Hot,Spring,Bangkok Landmark 2; Bangkok Landmark 1; Wat Arun; Grand Palace; Chatuchak Market,Pad Thai,Savory,Mandarin Oriental,4,90,Restaurant; Conference Rooms; WiFi; Kids Club; Airport Shuttle; Spa,Windy,37.2,$495–$1080,culture; photography; nightlife; relaxation
Ahmedabad,India,South Asia,heritage,Hot,May,Ahmedabad Landmark 1; Adalaj Stepwell; Sabarmati Ashram; Akshardham Temple; Ahmedabad Landmark 2,Dhokla,Savory,Hyatt Ahmedabad,3,109,Pet Friendly; WiFi; Parking; Spa; Pool,Snowy,33.6,$359–$784,spirituality; relaxation
Nairobi,Kenya,Oceania,safari,Hot,August,Giraffe Centre; Nairobi National Park; Karen Blixen Museum; Nairobi Landmark 2; Nairobi Landmark 1,Nyama Choma,Savory,Giraffe Manor,4,211,Breakfast Included; Pet Friendly; Gym; Restaurant; Pool; WiFi,Snowy,27.5,$928–$2025,adventure; skiing
New York,USA,North America,city,Moderate,May,Times Square; New York Landmark 1; Statue of Liberty; Central Park; New York Landmark 2,New York Pizza,Savory,The St. Regis,3,557,Pool; Bar; WiFi; Parking,Windy,11.8,$6127–$13368,relaxation; nightlife; hiking; culture
Kathmandu,Nepal,South Asia,heritage,Moderate,Spring,Kathmandu Landmark 2; Pashupatinath; Kathmandu Landmark 1; Boudhanath Stupa; Basantapur Durbar Square,Momo,Savory,Hyatt Regency,4,60,Spa; Gym; Beach Access; Bar,Sunny,20.0,$462–$1008,nightlife; relaxation
Nairobi,Kenya,Oceania,safari,Hot,Spring,Nairobi Landmark 2; Nairobi Landmark 1; Karen Blixen Museum; Nairobi National Park; Giraffe Centre,Nyama Choma,Savory,Nairobi Serena,4,225,Spa; Bar; Restaurant; Parking,Windy,29.1,$990–$2160,photography; water-sports; culture
Varanasi,India,South Asia,spiritual,Moderate,November,Dashashwamedh Ghat; Varanasi Landmark 2; Kashi Vishwanath; Sarnath; Varanasi Landmark 1,Kachori Sabzi,Spicy,BrijRama Palace,5,57,WiFi; Pool; Conference Rooms; Bar; Beach Access; Restaurant,Humid,21.3,$501–$1094,historic tours; water-sports; shopping
Lisbon,Portugal,South America,city,Moderate,September,Belém Tower; Jerónimos Monastery; Alfama; Lisbon Landmark 2; Lisbon Landmark 1,Pastel de Nata,Sweet,Pestana Palace,5,351,Bar; Gym; Pool; Parking; Restaurant; Spa,Sunny,17.4,$2316–$5054,historic tours
Tokyo,Japan,East Asia,city,Moderate,Monsoon,Tokyo Landmark 1; Tokyo Landmark 2; Sensoji Temple; Shibuya Crossing; Tokyo Tower,Sushi,Savory,Mandarin Oriental,4,262,WiFi; Spa; Conference Rooms; Breakfast Included; Airport Shuttle; Pool; Beach Access,Windy,21.7,$1152–$2515,hiking; wildlife; spirituality; photography
Banff,Canada,North America,mountain,Cold,December,Moraine Lake; Banff Landmark 2; Lake Louise; Banff Gondola; Banff Landmark 1,Canadian Pancakes,Sweet,Fairmont Banff Springs,4,296,Pool; Breakfast Included; Beach Access; Airport Shuttle; WiFi; Bar; Parking,Sunny,-2.2,$976–$2131,shopping; photography; culture
New York,USA,North America,city,Moderate,Summer,New York Landmark 1; New York Landmark 2; Statue of Liberty; Times Square; Central Park,New York Pizza,Savory,The St. Regis,3,270,Airport Shuttle; Gym; WiFi,Rainy,16.1,$2673–$5832,nightlife; food; spirituality
Varanasi,India,South Asia,spiritual,Moderate,Monsoon,Varanasi Landmark 1; Varanasi Landmark 2; Kashi Vishwanath; Sarnath; Dashashwamedh Ghat,Kachori Sabzi,Spicy,Hotel Ganges View,5,63,Spa; Restaurant; Parking,Windy,20.1,$485–$1058,water-sports; shopping
Prague,Czech Republic,Europe,heritage,Moderate,Autumn,Prague Landmark 2; Charles Bridge; Prague Castle; Old Town Square; Prague Landmark 1,Trdelnik,Sweet,Aria Hotel,3,72,Spa; Bar; Kids Club; Breakfast Included; Parking; Airport Shuttle,Rainy,15.1,$475–$1036,hiking; shopping; photography; relaxation
Udaipur,India,South Asia,heritage,Moderate,November,Lake Pichola; Udaipur Landmark 1; Udaipur Landmark 2; City Palace Udaipur; Jagdish Temple,Laal Maas,Spicy,Taj Lake Palace,4,95,Airport Shuttle; Restaurant; WiFi; Pet Friendly,Humid,23.9,$836–$1824,water-sports; historic tours
Cusco,Peru,South America,heritage,Cold,Summer,Cusco Landmark 2; Sacsayhuamán; Plaza de Armas; Machu Picchu; Cusco Landmark 1,Cuy,Savory,JW Marriott,4,183,Beach Access; Airport Shuttle; Parking; Restaurant; Gym,Sunny,10.8,$1811–$3952,spirituality
Nairobi,Kenya,Oceania,safari,Hot,June,Nairobi Landmark 1; Nairobi National Park; Giraffe Centre; Karen Blixen Museum; Nairobi Landmark 2,Nyama Choma,Savory,Sankara Nairobi,5,142,Kids Club; Airport Shuttle; Parking; Bar; Pet Friendly,Snowy,24.5,$468–$1022,historic tours
Kolkata,India,South Asia,city,Moderate,October,Howrah Bridge; Kolkata Landmark 1; Victoria Memorial; Dakshineswar; Kolkata Landmark 2,Macher Jhol,Savory,The Lalit Great Eastern,5,151,Conference Rooms; Breakfast Included; Beach Access; WiFi; Parking; Gym,Humid,24.3,$830–$1812,skiing; food; relaxation; shopping
Ahmedabad,India,South Asia,heritage,Hot,June,Ahmedabad Landmark 1; Sabarmati Ashram; Adalaj Stepwell; Akshardham Temple; Ahmedabad Landmark 2,Dhokla,Savory,Fortune Landmark,3,83,Parking; Restaurant; Bar; Spa; Gym; Beach Access,Rainy,34.9,$730–$1593,spirituality; skiing; water-sports
Marrakech,Morocco,Africa,heritage,Hot,October,Marrakech Landmark 2; Majorelle Garden; Bahia Palace; Marrakech Landmark 1; Jemaa el-Fnaa,Tagine,Savory,La Mamounia,4,173,WiFi; Bar; Restaurant,Sunny,24.4,$1712–$3736,relaxation; skiing; hiking
Los Angeles,USA,North America,city,Hot,October,Los Angeles Landmark 2; Santa Monica Pier; Griffith Observatory; Los Angeles Landmark 1; Hollywood,In-N-Out Burger,Savory,Four Seasons Los Angeles,5,240,Spa; Breakfast Included; Pool,Windy,21.3,$2640–$5760,relaxation
Fiji,Fiji,South Asia,island,Hot,Spring,Coral Coast; Garden of the Sleeping Giant; Fiji Landmark 2; Mamanuca Islands; Fiji Landmark 1,Kokoda,Savory,Jean-Michel Cousteau,3,168,Spa; WiFi; Bar,Snowy,27.9,$1478–$3225,relaxation; hiking; wildlife
Amsterdam,Netherlands,Europe,city,Moderate,September,Van Gogh Museum; Amsterdam Landmark 2; Rijksmuseum; Canals; Amsterdam Landmark 1,Stroopwafel,Sweet,Ambassade Hotel,4,170,Beach Access; Airport Shuttle; Breakfast Included; Spa,Humid,12.0,$561–$1224,photography
Leh-Ladakh,India,South Asia,mountain,Cold,August,Leh-Ladakh Landmark 1; Leh-Ladakh Landmark 2; Thiksey Monastery; Pangong Lake; Nubra Valley,Tibetan Thenthuk,Savory,Zimskhang,5,76,Bar; WiFi; Parking,Sunny,2.1,$501–$1094,skiing; food; hiking; adventure
Los Angeles,USA,North America,city,Hot,October,Griffith Observatory; Hollywood; Santa Monica Pier; Los Angeles Landmark 2; Los Angeles Landmark 1,In-N-Out Burger,Savory,The Beverly Hills Hotel,3,255,Bar; Pet Friendly; Conference Rooms; Beach Access,Windy,18.8,$1683–$3672,adventure
Goa,India,South Asia,beach,Hot,January,Baga Beach; Fort Aguada; Goa Landmark 2; Goa Landmark 1; Anjuna Flea Market,Goan Fish Curry,Spicy,Taj Exotica,4,159,Beach Access; Parking; Restaurant,Windy,26.9,$1399–$3052,wildlife; spirituality
Leh-Ladakh,India,South Asia,mountain,Cold,July,Nubra Valley; Pangong Lake; Leh-Ladakh Landmark 1; Thiksey Monastery; Leh-Ladakh Landmark 2,Tibetan Thenthuk,Savory,Ladakh Sarai,3,191,Spa; Bar; Airport Shuttle,Humid,-1.1,$1470–$3208,food
Cusco,Peru,South America,heritage,Cold,Autumn,Cusco Landmark 1; Plaza de Armas; Cusco Landmark 2; Sacsayhuamán; Machu Picchu,Cuy,Savory,JW Marriott,5,159,Parking; Kids Club; Beach Access; Gym; Airport Shuttle,Sunny,4.0,$1574–$3434,skiing; culture; relaxation
Kyoto,Japan,Southeast Asia,heritage,Moderate,Spring,Fushimi Inari; Kyoto Landmark 2; Gion District; Kinkaku-ji; Kyoto Landmark 1,Kaiseki,Savory,Hoshinoya Kyoto,4,244,Breakfast Included; Pet Friendly; Kids Club; Gym; Pool; Restaurant,Sunny,10.5,$2147–$4684,shopping; historic tours
Cairo,Egypt,Africa,heritage,Hot,February,Cairo Landmark 2; Khan el-Khalili; Egyptian Museum; Cairo Landmark 1; Pyramids of Giza,Koshari,Savory,Sofitel Cairo,4,203,Restaurant; WiFi; Airport Shuttle; Pool; Parking; Gym; Beach Access,Humid,34.4,$1786–$3897,adventure; spirituality; skiing; relaxation
Manali,India,South Asia,mountain,Cold,January,Hadimba Temple; Solang Valley; Manali Landmark 2; Manali Landmark 1; Rohtang Pass,Trout Fish,Savory,Manali Heights,4,133,Bar; Airport Shuttle; Spa; Gym; Pool; Beach Access,Snowy,2.5,$731–$1596,historic tours; culture; photography
Rishikesh,India,South Asia,spiritual,Moderate,September,Rishikesh Landmark 2; Beatles Ashram; Rishikesh Landmark 1; Laxman Jhula; Triveni Ghat,Aloo Puri,Savory,Ananda in the Himalayas,5,95,Restaurant; Breakfast Included; Gym,Sunny,19.7,$522–$1140,adventure
Santiago,Chile,Europe,city,Moderate,September,Cerro San Cristobal; The Andes; Santiago Landmark 2; Santiago Landmark 1; Plaza de Armas,Empanadas,Savory,The Ritz-Carlton Santiago,5,104,Gym; WiFi; Conference Rooms,Snowy,15.9,$572–$1248,food
Nairobi,Kenya,Oceania,safari,Hot,Autumn,Nairobi Landmark 2; Nairobi Landmark 1; Nairobi National Park; Karen Blixen Museum; Giraffe Centre,Nyama Choma,Savory,Nairobi Serena,4,238,Pet Friendly; Airport Shuttle; Pool; Gym; Kids Club,Windy,23.2,$2618–$5712,shopping; water-sports; skiing; food
Istanbul,Turkey,North America,heritage,Moderate,Summer,Istanbul Landmark 1; Hagia Sophia; Istanbul Landmark 2; Grand Bazaar; Topkapi Palace,Kebab,Savory,Swissotel,5,247,Pet Friendly; Spa; Conference Rooms; Airport Shuttle; Bar,Snowy,14.7,$1901–$4149,relaxation
Sydney,Australia,Oceania,city,Moderate,October,Sydney Opera House; Harbour Bridge; Sydney Landmark 1; Sydney Landmark 2; Bondi Beach,Meat Pie,Savory,Park Hyatt Sydney,3,161,Airport Shuttle; Kids Club; Pool; Pet Friendly,Humid,23.5,$885–$1932,spirituality; food; hiking; shopping
Paris,France,Europe,city,Moderate,September,Notre-Dame; Paris Landmark 2; Paris Landmark 1; Eiffel Tower; Louvre Museum,Croissant,Sweet,Le Meurice,4,371,Conference Rooms; Kids Club; Pet Friendly,Windy,14.0,$4081–$8904,skiing; food; spirituality; historic tours
Hawaii (Oahu),USA,North America,island,Hot,September,Hawaii (Oahu) Landmark 1; Road to Hana; Haleakala; Waikiki Beach; Hawaii (Oahu) Landmark 2,Poke,Savory,Halekulani,3,428,Spa; WiFi; Pet Friendly; Parking; Beach Access,Rainy,32.5,$3766–$8217,relaxation
Coorg,India,Europe,forest,Moderate,Monsoon,Coorg Landmark 1; Raja's Seat; Dubare Elephant Camp; Coorg Landmark 2; Abbey Falls,Pandi Curry,Savory,Coorg Hills Retreat,3,54,Pet Friendly; Bar; WiFi; Spa,Snowy,16.0,$297–$648,nightlife; shopping; relaxation; culture
Santorini,Greece,Europe,island,Moderate,Monsoon,Fira; Santorini Landmark 1; Santorini Landmark 2; Oia; Red Beach,Tomatokeftedes,Savory,Grace Hotel,5,173,Bar; Pet Friendly; Conference Rooms; WiFi; Pool; Restaurant,Rainy,22.0,$1332–$2906,water-sports; photography; relaxation
London,United Kingdom,Europe,city,Moderate,May,Tower of London; British Museum; London Landmark 2; Buckingham Palace; London Landmark 1,Fish and Chips,Savory,The Langham,4,272,Airport Shuttle; Pet Friendly; Parking; Spa; Beach Access; Breakfast Included,Humid,16.5,$897–$1958,relaxation; water-sports; historic tours; skiing
Tokyo,Japan,East Asia,city,Moderate,March,Tokyo Landmark 1; Tokyo Landmark 2; Shibuya Crossing; Sensoji Temple; Tokyo Tower,Sushi,Savory,The Peninsula,4,349,Kids Club; Parking; Breakfast Included; Conference Rooms; Pool; Gym,Humid,16.5,$3455–$7538,culture; wildlife; spirituality; historic tours
Bangkok,Thailand,Southeast Asia,city,Hot,Summer,Bangkok Landmark 2; Bangkok Landmark 1; Wat Arun; Chatuchak Market; Grand Palace,Pad Thai,Savory,Mandarin Oriental,4,120,Restaurant; Bar; Spa,Snowy,26.3,$660–$1440,hiking; food; spirituality
Mexico City,Mexico,South America,city,Moderate,Summer,Chapultepec Park; Mexico City Landmark 1; Frida Kahlo Museum; Zocalo; Mexico City Landmark 2,Tacos al Pastor,Spicy,Four Seasons Mexico City,5,194,WiFi; Restaurant; Pool; Spa; Gym; Pet Friendly; Beach Access,Snowy,11.3,$1920–$4190,nightlife
Phuket,Thailand,Southeast Asia,beach,Hot,December,Patong Beach; Phuket Landmark 2; Phuket Landmark 1; Big Buddha; Phi Phi Islands,Tom Yum Goong,Spicy,Anantara Mai Khao,3,99,Pool; Gym; Restaurant; Pet Friendly; WiFi; Kids Club,Humid,34.8,$544–$1188,water-sports; historic tours
Los Angeles,USA,North America,city,Hot,September,Los Angeles Landmark 1; Griffith Observatory; Santa Monica Pier; Hollywood; Los Angeles Landmark 2,In-N-Out Burger,Savory,The Ritz-Carlton,4,364,Parking; Pet Friendly; Kids Club,Rainy,19.4,$2002–$4368,skiing; adventure; shopping
